Algorithm,World,Trial,Total_Time,Path_Length,Deviation_From_Straight,Avg_Velocity,Path_Efficiency,Navigation_Metric,Collision,Recovery_Count,My_Recovery_Count,Avg_Computation_Time,Path_Smoothness,Min_Clearance,Max_Path_Deviation,Control_Effort,Path_Curvature,Avg_Jerk,Path_Overlap
eband,31,1,20.33,8.31,0.831,0.41,1.204,0.2769,0,0,0,0.0,2.957,-1,0.977,60.834,20449732.415,2952905.399,77
eband,32,1,21.21,8.17,0.817,0.39,1.224,0.2908,0,0,0,0.0,2.382,-1,0.506,295.526,459111.487,9847516.87,73
eband,33,1,23.84,9.19,0.919,0.39,1.088,0.2824,0,0,0,0.0,35.113,-1,1.231,266.743,20519.215,8068854.429,114
eband,34,1,21.35,8.24,0.824,0.39,1.214,0.2808,0,0,0,0.0,8.919,-1,0.742,178.642,975259.551,4218878.781,82
eband,35,1,20.37,8.08,0.808,0.4,1.237,0.2857,0,0,0,0.0,39.832,-1,0.196,511.649,2095162.623,26209363.441,85
eband,36,1,20.8,8.15,0.815,0.39,1.226,0.2703,0,0,0,0.0,2.256,-1,0.318,29.989,3823454.978,982264.357,68
eband,38,1,23.19,8.53,0.853,0.37,1.172,0.2803,0,0,0,0.0,36.607,-1,1.146,706.909,5344768.887,28280610.923,129
eband,39,1,19.91,8.17,0.817,0.41,1.224,0.2879,0,0,0,0.0,9.258,-1,0.38,113.954,6712994.715,4740260.619,75
eband,40,1,19.32,8.02,0.802,0.42,1.247,0.2823,0,0,0,0.0,1.802,-1,0.239,96.181,2753929.628,4720682.24,69
eband,41,1,20.0,8.03,0.803,0.4,1.245,0.2832,0,0,0,0.0,1.371,-1,0.238,55.351,217486.946,2266578.835,67
eband,42,1,19.45,8.0,0.8,0.41,1.25,0.296,0,0,0,0.0,0.203,-1,0.023,36.597,264364.72,2222564.588,64
eband,43,1,22.16,8.55,0.855,0.39,1.169,0.2688,0,0,0,0.0,97.859,-1,1.244,152.435,869030.257,5305851.312,127
